id,shape,price,carat,cut,color,clarity,report,type
10038007,8,31550,3.02,4,6,2,1,2
9968432,10,31730,3.01,5,4,1,1,2
10083235,10,31770,3.0,5,7,1,1,2
10062211,10,31830,1.84,5,7,6,1,2
10030545,10,31830,2.2,5,6,6,1,2
9725937,1,31860,2.55,5,5,5,1,2
10075358,2,31950,3.0,4,3,2,1,2
10013002,8,31950,4.01,4,1,2,1,2
9731325,10,31970,3.33,5,1,4,1,2
10080950,6,32020,3.6,5,1,2,1,2
10049416,10,32020,2.01,5,6,5,1,2
10050327,10,32030,2.05,5,6,4,1,2
9881624,2,32080,3.03,5,3,2,1,2
9866232,2,32150,3.04,5,5,1,1,2
9830630,5,32180,2.5,4,7,5,1,2
10023532,10,32390,3.51,5,4,1,1,2
10073361,6,32420,3.0,3,2,6,1,2
9933907,6,32450,2.01,4,6,6,1,2
10073983,10,32470,3.01,5,2,3,1,2
9930479,10,32490,2.5,5,5,3,1,2
10046944,10,32660,2.09,5,5,5,1,2
9936409,10,32660,2.39,5,4,4,1,2
10088465,10,32780,3.2,5,3,1,1,2
10000236,10,32820,2.71,5,4,4,1,2
9935183,3,32980,3.01,2,6,3,1,2
10030547,6,32990,2.6,5,7,2,1,2
10077547,1,33020,3.0,2,6,4,1,2
9881669,2,33050,3.4,4,2,2,1,2
10038054,10,33170,2.26,5,6,6,1,2
10090318,6,33220,3.01,2,4,4,1,2
9877841,2,33290,3.01,4,7,5,1,2
10029101,6,33290,2.71,5,7,2,1,2
10063606,10,33550,2.3,5,5,8,1,2
10014317,3,33620,3.01,3,5,3,1,2
9907934,6,33630,3.0,5,7,2,1,2
10025413,10,33800,3.2,5,2,3,1,2
10072108,8,33860,3.0,5,4,4,1,2
9989652,10,33910,2.2,5,4,6,1,2
9952732,3,33960,3.01,4,3,3,1,2
10020389,4,34020,2.7,4,4,3,1,2
10005770,1,34140,3.0,2,6,8,1,2
10082336,10,34170,2.5,5,4,3,1,2
10011494,6,34310,3.41,5,3,1,1,2
10065111,10,34310,2.06,5,5,6,1,2
9706328,1,34380,2.73,5,5,4,1,2
10077040,9,34580,3.02,3,5,2,1,2
10030165,2,34640,2.17,5,7,7,1,2
10088659,6,34730,3.01,5,3,3,1,2
10048277,10,34760,2.5,3,5,5,1,2
10010520,10,34850,2.0,5,7,4,1,2
10088531,10,34880,2.01,5,6,5,1,2
9967660,10,34880,3.9,5,1,2,1,2
10078584,10,35070,4.05,5,1,1,1,2
10034968,10,35110,2.52,5,5,4,1,2
10014345,1,35170,2.55,5,7,8,1,2
10089422,6,35180,3.51,4,1,4,1,2
10021370,6,35260,2.61,5,5,3,1,2
10072078,3,35290,2.74,2,7,5,1,2
10051347,10,35360,3.0,5,5,2,1,2
9969671,2,35450,3.0,4,4,2,1,2
10080016,10,35540,2.9,5,3,3,1,2
10072911,10,35620,3.0,5,2,4,1,2
10081536,10,35680,2.51,5,7,3,1,2
10081419,10,35690,2.21,5,6,7,1,2
10062210,10,35760,1.92,5,7,6,1,2
9990351,6,35900,3.3,4,2,4,1,2
9715014,10,35910,2.5,5,5,4,1,2
10019759,10,36060,2.73,5,4,3,1,2
10012448,6,36280,2.5,5,6,4,1,2
9919427,5,36340,3.22,5,4,1,1,2
9916795,6,36340,2.63,3,6,4,1,2
10089293,6,36390,3.01,5,7,1,1,2
10087639,10,36520,2.05,5,6,5,1,2
10060913,10,36580,4.01,5,2,1,1,2
9926010,1,36610,2.7,3,7,5,1,2
9971700,10,36620,2.07,5,5,6,1,2
10021220,7,36750,2.81,5,6,4,1,2
9711623,10,36800,3.02,5,7,1,1,2
10064939,3,36870,2.51,5,6,5,1,2
9999084,2,36870,3.0,5,6,3,1,2
10026757,1,36960,3.22,5,7,5,1,2
9999959,10,36970,2.01,5,7,6,1,2
9915303,10,37030,3.01,5,2,5,1,2
10083241,10,37040,3.05,5,7,2,1,2
10070649,10,37060,3.73,5,2,1,1,2
9827488,4,37270,3.03,5,7,2,1,2
9996290,10,37390,2.7,5,4,4,1,2
10010197,10,37400,2.71,5,5,5,1,2
9607673,3,37430,3.15,5,7,2,1,2
10090267,2,37440,3.01,5,4,5,1,2
9945847,6,37470,3.52,5,4,1,1,2
10011344,6,37480,3.7,5,2,2,1,2
10083310,10,37490,3.01,4,3,3,1,2
9977573,3,37500,3.01,2,7,3,1,2
10046775,10,37550,1.9,5,7,7,1,2
9968945,10,37630,3.5,5,4,1,1,2
9971502,10,37680,3.51,3,7,1,2,2
9711032,10,37680,3.01,3,4,6,1,2
10061300,6,37900,3.02,4,3,3,1,2
10072110,3,37960,2.7,2,7,6,1,2
10052146,7,37960,4.0,4,2,2,1,2
10054066,10,37990,3.4,5,1,4,1,2
9989225,8,38340,3.01,3,5,4,1,2
10050469,6,38440,3.02,4,4,2,1,2
9966402,3,38490,3.05,5,3,6,1,2
10072375,10,38540,2.53,5,6,4,1,2
10080832,10,38560,3.01,5,6,2,1,2
10014535,9,38570,3.01,5,4,4,1,2
10035042,3,38710,3.2,2,7,4,1,2
9994143,10,38730,3.08,5,2,5,1,2
10011205,10,38740,3.0,5,3,2,1,2
10061437,10,38880,4.01,4,5,1,3,2
10006016,10,38920,2.45,5,4,8,1,2
10025406,10,38960,3.32,5,2,4,1,2
10056257,10,39070,2.43,5,7,5,1,2
10089682,10,39090,5.0,4,1,1,3,2
10035064,10,39270,3.26,5,2,5,1,2
9936531,10,39490,2.81,5,7,4,1,2
10044553,10,39650,2.01,5,6,6,1,2
9921366,10,39790,2.3,5,5,6,1,2
10010886,8,39790,3.0,4,7,4,1,2
9998085,10,39830,4.4,4,4,1,3,2
10089983,7,39840,3.0,4,5,4,1,2
9742500,10,39860,3.4,5,3,4,1,2
10019943,3,40070,3.29,3,6,4,1,2
10089410,6,40100,3.01,5,3,4,1,2
10038044,10,40410,2.8,5,4,4,1,2
10029250,2,40490,3.01,4,5,3,1,2
10026689,10,40720,2.16,5,6,6,1,2
9920523,10,40990,2.7,5,4,5,1,2
9984216,10,41050,2.5,5,5,5,1,2
10089599,10,41140,2.1,5,7,5,1,2
10049365,8,41350,3.24,5,3,7,1,2
10081410,3,41560,3.27,5,5,5,1,2
9906243,10,41580,3.5,5,2,4,1,2
10092162,10,41600,3.12,3,3,2,1,2
9983760,3,41760,3.26,3,3,4,1,2
10016432,10,41770,4.01,5,1,2,1,2
9993498,10,41890,4.01,4,1,6,2,2
9977163,10,42290,2.5,3,7,6,1,2
9916998,3,42330,2.89,3,7,5,1,2
10014695,10,42340,2.0,3,7,7,1,2
10064711,10,42390,3.01,5,4,3,1,2
10006093,5,42430,3.04,5,4,7,1,2
9977539,8,42900,3.07,5,5,4,1,2
10066809,10,42950,3.01,5,4,5,1,2
